waveform	[0]
t0	12/31/1903  16:00:00.000000
delta t	0.031250

time	Y[0]
12/31/1903  16:00:08.531250	-9.845459E-2
12/31/1903  16:00:08.562500	-9.261475E-2
12/31/1903  16:00:08.593750	-8.561523E-2
12/31/1903  16:00:08.625000	-1.133032E-1
12/31/1903  16:00:08.656250	-1.145020E-1
12/31/1903  16:00:08.687500	-1.210669E-1
12/31/1903  16:00:08.718750	-1.283057E-1
12/31/1903  16:00:08.750000	-9.338135E-2
12/31/1903  16:00:08.781250	-8.430908E-2
12/31/1903  16:00:08.812500	-7.728760E-2
12/31/1903  16:00:08.843750	-6.367432E-2
12/31/1903  16:00:08.875000	-6.777832E-2
12/31/1903  16:00:08.906250	-8.153076E-2
12/31/1903  16:00:08.937500	-7.378174E-2
12/31/1903  16:00:08.968750	-7.530029E-2
12/31/1903  16:00:09.000000	-8.488525E-2
12/31/1903  16:00:09.031250	-8.431641E-2
12/31/1903  16:00:09.062500	-9.127930E-2
12/31/1903  16:00:09.093750	-7.750244E-2
12/31/1903  16:00:09.125000	-8.649658E-2
12/31/1903  16:00:09.156250	-1.007813E-1
12/31/1903  16:00:09.187500	-8.578613E-2
12/31/1903  16:00:09.218750	-8.514160E-2
12/31/1903  16:00:09.250000	-9.610107E-2
12/31/1903  16:00:09.281250	-8.776123E-2
12/31/1903  16:00:09.312500	-9.495361E-2
12/31/1903  16:00:09.343750	-9.231689E-2
12/31/1903  16:00:09.375000	-8.379639E-2
12/31/1903  16:00:09.406250	-8.975586E-2
12/31/1903  16:00:09.437500	-9.208496E-2
12/31/1903  16:00:09.468750	-8.886719E-2
12/31/1903  16:00:09.500000	-1.054346E-1
12/31/1903  16:00:09.531250	-1.082495E-1
12/31/1903  16:00:09.562500	-1.065405E-1
12/31/1903  16:00:09.593750	-1.114355E-1
12/31/1903  16:00:09.625000	-8.744385E-2
12/31/1903  16:00:09.656250	-7.539795E-2
12/31/1903  16:00:09.687500	-9.575439E-2
12/31/1903  16:00:09.718750	-7.790527E-2
12/31/1903  16:00:09.750000	-6.915039E-2
12/31/1903  16:00:09.781250	-8.569580E-2
12/31/1903  16:00:09.812500	-8.079590E-2
